
#Curve 0 of 1, 25 points
#x y type
0.0000000e+00 0.0000000e+00  u
4.1666667e+02 5.7600000e-06  i
8.3333333e+02 1.4400000e-06  i
1.2500000e+03 6.4000000e-07  i
1.6666667e+03 3.6000000e-07  i
2.0833333e+03 2.3040000e-07  i
2.5000000e+03 1.6000000e-07  i
2.9166667e+03 1.1755102e-07  i
3.3333333e+03 9.0000000e-08  i
3.7500000e+03 7.1111111e-08  i
4.1666667e+03 5.7600000e-08  i
4.5833333e+03 4.7603306e-08  i
5.0000000e+03 4.0000000e-08  i
5.4166667e+03 3.4082840e-08  i
5.8333333e+03 2.9387755e-08  i
6.2500000e+03 2.5600000e-08  i
6.6666667e+03 2.2500000e-08  i
7.0833333e+03 1.9930796e-08  i
7.5000000e+03 1.7777778e-08  i
7.9166667e+03 1.5955679e-08  i
8.3333333e+03 1.4400000e-08  i
8.7500000e+03 1.3061224e-08  i
9.1666667e+03 1.1900826e-08  i
9.5833333e+03 1.0888469e-08  i
1.0000000e+04 1.0000000e-08  i

