# ordering=colwise,  basis=BASIS_NODAL, number points=1089, (max)level(s): (5,5), domain=[0,1] x [0,6.2831853]
# x_i : coordinates; (l_i,i_i): multiindex coords; scalaridx_i: linearized multiindex coords
x_0	x_1	f(x)	l_0	i_0	scalaridx_0	l_1	i_1	scalaridx_1	
0	0	0	0	0	0	0	0	0	
0	0.19634954	0.038239818	0	0	0	5	1	17	
0	0.39269908	0.14662768	0	0	0	4	1	9	
0	0.58904862	0.30882682	0	0	0	5	3	18	
0	0.78539816	0.50022829	0	0	0	3	1	5	
0	0.9817477	0.69157467	0	0	0	5	5	19	
0	1.1780972	0.85379351	0	0	0	4	3	10	
0	1.3744468	0.96217102	0	0	0	5	7	20	
0	1.5707963	1	0	0	0	2	1	3	
0	1.7671459	0.96217102	0	0	0	5	9	21	
0	1.9634954	0.85379351	0	0	0	4	5	11	
0	2.1598449	0.69157467	0	0	0	5	11	22	
0	2.3561945	0.50022829	0	0	0	3	3	6	
0	2.552544	0.30882682	0	0	0	5	13	23	
0	2.7488936	0.14662768	0	0	0	4	7	12	
0	2.9452431	0.038239818	0	0	0	5	15	24	
0	3.1415927	6.9388939e-18	0	0	0	1	1	2	
0	3.3379422	0.038239818	0	0	0	5	17	25	
0	3.5342917	0.14662768	0	0	0	4	9	13	
0	3.7306413	0.30882682	0	0	0	5	19	26	
0	3.9269908	0.50022829	0	0	0	3	5	7	
0	4.1233404	0.69157467	0	0	0	5	21	27	
0	4.3196899	0.85379351	0	0	0	4	11	14	
0	4.5160394	0.96217102	0	0	0	5	23	28	
0	4.712389	1	0	0	0	2	3	4	
0	4.9087385	0.96217102	0	0	0	5	25	29	
0	5.1050881	0.85379351	0	0	0	4	13	15	
0	5.3014376	0.69157467	0	0	0	5	27	30	
0	5.4977871	0.50022829	0	0	0	3	7	8	
0	5.6941367	0.30882682	0	0	0	5	29	31	
0	5.8904862	0.14662768	0	0	0	4	15	16	
0	6.0868358	0.038239818	0	0	0	5	31	32	
0	6.2831853	6.9388939e-18	0	0	0	0	1	1	

0.03125	0	3.0517578e-05	5	1	17	0	0	0	
0.03125	0.19634954	0.030093496	5	1	17	5	1	17	
0.03125	0.39269908	0.1146012	5	1	17	4	1	9	
0.03125	0.58904862	0.24129102	5	1	17	5	3	18	
0.03125	0.78539816	0.38946059	5	1	17	3	1	5	
0.03125	0.9817477	0.53949733	5	1	17	5	5	19	
0.03125	1.1780972	0.66566286	5	1	17	4	3	10	
