x_0	f(x)
$flags auto[subscript]:8	auto[subscript]:8
3.16693000e-05	-4.00001451e+00
1.00816962e-03	-3.08781504e+00
1.98466995e-03	-2.88058811e+00
2.96117027e-03	-2.75205040e+00
3.93767059e-03	-2.65736805e+00
4.91417091e-03	-2.58181091e+00
5.89067124e-03	-2.51862689e+00
6.86717156e-03	-2.46413745e+00
7.84367188e-03	-2.41610948e+00
8.82017221e-03	-2.37308206e+00
9.79667253e-03	-2.33404539e+00
1.07731729e-02	-2.29827143e+00
1.17496732e-02	-2.26521733e+00
1.27261735e-02	-2.23446722e+00
1.37026738e-02	-2.20569521e+00
1.46791741e-02	-2.17864099e+00
1.56556745e-02	-2.15309327e+00
1.66321748e-02	-2.12887807e+00
1.76086751e-02	-2.10585039e+00
1.85851754e-02	-2.08388806e+00
1.95616758e-02	-2.06288715e+00
2.05381761e-02	-2.04275848e+00
2.15146764e-02	-2.02342496e+00
2.24911767e-02	-2.00481944e+00
2.34676771e-02	-1.98688309e+00
2.44441774e-02	-1.96956405e+00
2.54206777e-02	-1.95281639e+00
2.63971780e-02	-1.93659920e+00
2.73736783e-02	-1.92087588e+00
2.83501787e-02	-1.90561359e+00
2.93266790e-02	-1.89078270e+00
3.03031793e-02	-1.87635639e+00
3.12796796e-02	-1.86231034e+00
3.22561800e-02	-1.84862237e+00
3.32326803e-02	-1.83527225e+00
3.42091806e-02	-1.82224143e+00
3.51856809e-02	-1.80951287e+00
3.61621812e-02	-1.79707091e+00
3.71386816e-02	-1.78490108e+00
3.81151819e-02	-1.77299000e+00
3.90916822e-02	-1.76132528e+00
4.00681825e-02	-1.74989540e+00
4.10446829e-02	-1.73868966e+00
4.20211832e-02	-1.72769809e+00
4.29976835e-02	-1.71691137e+00
4.39741838e-02	-1.70632080e+00
4.49506842e-02	-1.69591822e+00
4.59271845e-02	-1.68569599e+00
4.69036848e-02	-1.67564694e+00
4.78801851e-02	-1.66576430e+00
4.88566854e-02	-1.65604172e+00
4.98331858e-02	-1.64647321e+00
5.08096861e-02	-1.63705311e+00
5.17861864e-02	-1.62777609e+00
5.27626867e-02	-1.61863707e+00
5.37391871e-02	-1.60963129e+00
5.47156874e-02	-1.60075418e+00
5.56921877e-02	-1.59200146e+00
5.66686880e-02	-1.58336904e+00
5.76451884e-02	-1.57485301e+00
5.86216887e-02	-1.56644969e+00
5.95981890e-02	-1.55815555e+00
6.05746893e-02	-1.54996724e+00
6.15511896e-02	-1.54188155e+00
6.25276900e-02	-1.53389543e+00
6.35041903e-02	-1.52600596e+00
6.44806906e-02	-1.51821034e+00
6.54571909e-02	-1.51050591e+00
6.64336913e-02	-1.50289011e+00
6.74101916e-02	-1.49536050e+00
6.83866919e-02	-1.48791473e+00
6.93631922e-02	-1.48055054e+00
7.03396926e-02	-1.47326578e+00
7.13161929e-02	-1.46605837e+00
7.22926932e-02	-1.45892633e+00
7.32691935e-02	-1.45186773e+00
7.42456938e-02	-1.44488074e+00
7.52221942e-02	-1.43796358e+00
7.61986945e-02	-1.43111455e+00
7.71751948e-02	-1.42433200e+00
7.81516951e-02	-1.41761434e+00
7.91281955e-02	-1.41096006e+00
8.01046958e-02	-1.40436767e+00
8.10811961e-02	-1.39783576e+00
8.20576964e-02	-1.39136295e+00
8.30341968e-02	-1.38494792e+00
8.40106971e-02	-1.37858938e+00
8.49871974e-02	-1.37228609e+00
8.59636977e-02	-1.36603686e+00
8.69401980e-02	-1.35984052e+00
8.79166984e-02	-1.35369596e+00
8.88931987e-02	-1.34760209e+00
8.98696990e-02	-1.34155786e+00
9.08461993e-02	-1.33556224e+00
9.18226997e-02	-1.32961425e+00
