# ordering=colwise,  basis=BASIS_NODAL, number points=33, (max)level(s): (5), domain=[3.16693e-05,0.999968]
# x_i : coordinates; (l_i,i_i): multiindex coords; scalaridx_i: linearized multiindex coords
x_0	f(x)	l_0	i_0	scalaridx_0	
3.16693e-05	-4.0000145	0	0	0	
0.03127968	-1.8623103	5	1	17	
0.06252769	-1.5338954	4	1	9	
0.0937757	-1.3178574	5	3	18	
0.12502371	-1.1502342	3	1	5	
0.15627172	-1.0098995	5	5	19	
0.18751973	-0.88707325	4	3	10	
0.21876774	-0.77636165	5	7	20	
0.25001575	-0.67444018	2	1	3	
0.28126376	-0.57909137	5	9	21	
0.31251177	-0.48874316	4	5	11	
0.34375978	-0.40222348	5	11	22	
0.37500779	-0.31861881	3	3	6	
0.4062558	-0.23718715	5	13	23	
0.43750381	-0.157301	4	7	12	
0.46875182	-0.078407825	5	15	24	
0.49999983	-4.1447098e-07	1	1	2	
0.53124784	0.078406993	5	17	25	
0.56249586	0.15730017	4	9	13	
0.59374387	0.23718629	5	19	26	
0.62499188	0.31861794	3	5	7	
0.65623989	0.40222258	5	21	27	
0.6874879	0.48874222	4	11	14	
0.71873591	0.57909039	5	23	28	
0.74998392	0.67443914	2	3	4	
0.78123193	0.77636053	5	25	29	
0.81247994	0.88707203	4	13	15	
0.84372795	1.0098981	5	27	30	
0.87497596	1.1502326	3	7	8	
0.90622397	1.3178554	5	29	31	
0.93747198	1.5338927	4	15	16	
0.96871999	1.8623056	5	31	32	
0.999968	3.9975555	0	1	1	
