Basis	L2	L2/r	ref_L2	maxlevel	
9	1.24298689e-01	5.23997221e-01	2.37212496e-01	1	
9	1.24298689e-01	5.23997221e-01	2.37212496e-01	1	
21	3.92062884e-02	1.65279187e-01	2.37212496e-01	2	
25	1.87518223e-02	7.90507358e-02	2.37212496e-01	3	
117	2.67078613e-03	1.12590449e-02	2.37212496e-01	5	
129	2.22236154e-03	9.36865293e-03	2.37212496e-01	5	
361	5.03665412e-04	2.12326678e-03	2.37212496e-01	7	
481	3.78427622e-04	1.59531066e-03	2.37212496e-01	8	
1273	6.25699533e-05	2.63771743e-04	2.37212496e-01	9	
1917	3.23577823e-05	1.36408423e-04	2.37212496e-01	9	
4689	7.29465016e-06	3.07515426e-05	2.37212496e-01	11	
6741	4.10049305e-06	1.72861596e-05	2.37212496e-01	11	
16761	8.28799652e-07	3.49391228e-06	2.37212496e-01	12	
