Basis	L2	L2/r	ref_L2	maxlevel
3	2.60508254e-01	4.90482999e-01	5.31125962e-01	1	
5	5.66241980e-02	1.06611618e-01	5.31125962e-01	2	
9	3.96350405e-02	7.46245586e-02	5.31125962e-01	3	
17	1.03555656e-02	1.94973817e-02	5.31125962e-01	4	
33	2.61539205e-03	4.92424065e-03	5.31125962e-01	5	
65	6.55520492e-04	1.23420909e-03	5.31125962e-01	6	
129	1.63984908e-04	3.08749561e-04	5.31125962e-01	7	
257	4.10027722e-05	7.71997136e-05	5.31125962e-01	8	
513	1.02510486e-05	1.93005978e-05	5.31125962e-01	9	
1025	2.56253402e-06	4.82471994e-06	5.31125962e-01	10	
2049	6.38710772e-07	1.20255988e-06	5.31125962e-01	11	
4097	1.46570173e-07	2.75961228e-07	5.31125962e-01	12	
