Basis	L2	L2/r	ref_L2	maxlevel	
27	1.09332286e-01	1.22723670e+00	8.90881817e-02	1	
81	5.01947271e-02	5.63427451e-01	8.90881817e-02	2	
225	1.73080188e-02	1.94279628e-01	8.90881817e-02	3	
593	8.27911552e-03	9.29316926e-02	8.90881817e-02	4	
1505	3.07418413e-03	3.45072047e-02	8.90881817e-02	5	
3713	1.50713390e-03	1.69173270e-02	8.90881817e-02	6	
8961	6.74034243e-04	7.56592210e-03	8.90881817e-02	7	
21249	2.80328651e-04	3.14664241e-03	8.90881817e-02	8	
49665	1.15461176e-04	1.29603247e-03	8.90881817e-02	9	
114689	4.47345923e-05	5.02138347e-04	8.90881817e-02	10	
262145	1.63023256e-05	1.82990890e-04	8.90881817e-02	11	
593921	5.64639994e-06	6.33798987e-05	8.90881817e-02	12	
1335297	1.88007387e-06	2.11035160e-05	8.90881817e-02	13	
2981889	5.97852515e-07	6.71079489e-06	8.90881817e-02	14	
6619137	2.63533023e-07	2.95811429e-06	8.90881817e-02	15	
