x_0	x_1	f(x)
$flags auto[subscript]:8	auto[subscript]:8	auto[subscript]:8
10000	200	-9.51763000e+04
10000	1.13125000e+03	-8.20348500e+04
10000	2.06250000e+03	-1.86114685e+06
10000	2.29531250e+03	-41045
10000	2.52812500e+03	-318150
10000	2.76093750e+03	-118795
10000	2.87734375e+03	-32750
10000	2.99375000e+03	-748550
10000	3.22656250e+03	-17215
10000	3.45937500e+03	297640
10000	3.57578125e+03	32625
10000	3.69218750e+03	112265
10000	3925	-1.24947219e+07
10000	4.15781250e+03	-14435
10000	4.39062500e+03	-275635
10000	4.62343750e+03	-124620
10000	4.73984375e+03	-38980
10000	4.85625000e+03	-3117495
10000	4.97265625e+03	-56850
10000	5.08906250e+03	-266000
10000	5.20546875e+03	-75850
10000	5.32187500e+03	-1296900
10000	5.43828125e+03	-90100
10000	5.55468750e+03	-362200
10000	5.67109375e+03	-88000
10000	5.78750000e+03	-4553345
10000	5.90390625e+03	-55550
10000	6.02031250e+03	-102700
10000	6.13671875e+03	7150
10000	6.25312500e+03	572450
10000	6.36953125e+03	71100
10000	6.48593750e+03	352650
10000	6.60234375e+03	99650
10000	6.71875000e+03	4241850
10000	6.83515625e+03	89550
10000	6.95156250e+03	305550
10000	7.06796875e+03	62700
10000	7.18437500e+03	810200
10000	7.30078125e+03	37000
10000	7.41718750e+03	108850
10000	7650	-3.88316118e+07
10000	7.76640625e+03	5500
10000	7.88281250e+03	3750
10000	7.99921875e+03	-3250
10000	8.11562500e+03	-98150
10000	8.23203125e+03	-9650
10000	8.34843750e+03	-49500
10000	8.46484375e+03	-14950
10000	8.58125000e+03	-1079200
10000	8.69765625e+03	-19650
10000	8.81406250e+03	-88200
10000	8.93046875e+03	-24350
10000	9.04687500e+03	-427650
10000	9.16328125e+03	-29050
10000	9.27968750e+03	-125850
10000	9.39609375e+03	-33800
10000	9.51250000e+03	-8796350
10000	9.62890625e+03	-38250
10000	9.74531250e+03	-160750
10000	9.86171875e+03	-41900
10000	9.97812500e+03	-694400
10000	1.00945312e+04	-45000
10000	1.02109375e+04	-186450
10000	1.03273438e+04	-48650
10000	1.04437500e+04	-3171850
10000	1.05601562e+04	-51550
10000	1.06765625e+04	-213400
10000	1.07929688e+04	-54750
10000	1.09093750e+04	-884550
10000	1.10257812e+04	-56600
10000	1.11421875e+04	-224250
10000	1.12585938e+04	-55350
10000	11375	-21266100
10000	1.14914062e+04	-50950
10000	1.16078125e+04	-189550
10000	1.17242188e+04	-43400
10000	1.18406250e+04	-599150
10000	1.19570312e+04	-32750
10000	1.20734375e+04	-104100
10000	1.23062500e+04	-663150
10000	1.25390625e+04	17000
10000	1.27718750e+04	304000
10000	1.30046875e+04	132000
10000	1.31210938e+04	39500
10000	1.32375000e+04	7859850
10000	1.33539062e+04	48500
10000	1.34703125e+04	207000
10000	1.35867188e+04	54500
10000	1.37031250e+04	881500
10000	1.38195312e+04	56500
10000	1.39359375e+04	226500
10000	1.40523438e+04	55000
10000	1.41687500e+04	3380000
10000	1.42851562e+04	53500
10000	1.44015625e+04	206500
10000	1.45179688e+04	49000
10000	1.46343750e+04	746500
10000	1.47507812e+04	45000
10000	1.48671875e+04	166000
10000	1.49835938e+04	39000
10000	15100	-4.03684118e+07
10000	1.52164062e+04	34000
10000	1.53328125e+04	125000
10000	1.55656250e+04	429000
10000	1.57984375e+04	90000
10000	1.60312500e+04	1252000
10000	1.62640625e+04	63000
10000	1.64968750e+04	213000
10000	1.67296875e+04	43000
10000	1.69625000e+04	2651000
10000	1.71953125e+04	29000
10000	1.74281250e+04	92500
10000	1.76609375e+04	17500
10000	1.78937500e+04	216000
10000	1.81265625e+04	8000
10000	1.83593750e+04	18500
10000	1.85921875e+04	500
10000	18825	-1154000
10000	1.90578125e+04	-8000
10000	1.92906250e+04	-49000
10000	1.95234375e+04	-17000
10000	1.97562500e+04	-364500
10000	1.99890625e+04	-27500
10000	2.02218750e+04	-136500
10000	2.04546875e+04	-41000
10000	2.06875000e+04	-3262000
10000	2.09203125e+04	-55500
10000	2.11531250e+04	-259000
10000	2.13859375e+04	-73500
10000	2.16187500e+04	-1336500
10000	2.18515625e+04	-93000
10000	2.20843750e+04	-412500
10000	2.23171875e+04	-112500
10000	22550	-73260000
10000	2.27828125e+04	-131500
10000	2.28992188e+04	-34500
10000	2.30156250e+04	-562000
10000	2.31320312e+04	-35500
10000	2.32484375e+04	-148500
10000	2.33648438e+04	-38000
10000	2.34812500e+04	-2434500
10000	2.35976562e+04	-38500
10000	2.37140625e+04	-158000
10000	2.38304688e+04	-40500
10000	2.39468750e+04	-641500
10000	2.40632812e+04	-40500
10000	2.41796875e+04	-161500
10000	2.42960938e+04	-41000
10000	2.44125000e+04	-9530000
10000	2.45289062e+04	-40000
10000	2.46453125e+04	-155500
10000	2.47617188e+04	-38500
10000	2.48781250e+04	-599000
10000	2.49945312e+04	-37000
10000	2.51109375e+04	-142500
10000	2.52273438e+04	-35500
10000	2.53437500e+04	-2066500
10000	2.55765625e+04	-119500
10000	2.58093750e+04	-421500
10000	2.60421875e+04	-91000
10000	26275	-15786000
10000	2.65078125e+04	-59000
10000	2.67406250e+04	-166500
10000	2.69734375e+04	-24500
10000	2.72062500e+04	-141000
10000	2.74390625e+04	9500
10000	2.76718750e+04	95500
10000	2.79046875e+04	38000
10000	2.81375000e+04	2911000
10000	2.83703125e+04	63500
10000	2.86031250e+04	297000
10000	2.88359375e+04	82500
10000	2.90687500e+04	1449000
10000	2.93015625e+04	98500
10000	2.95343750e+04	414000
10000	2.97671875e+04	107500
10000	30000	4.004e+08
1.06091309e+04	200	0
1.06091309e+04	15100	20500
1.06091309e+04	22550	-3250
1.06091309e+04	26275	-60000
1.06091309e+04	30000	-52000
1.12182617e+04	200	0
1.12182617e+04	7650	6050
1.12182617e+04	11375	-101050
1.12182617e+04	1.32375000e+04	-44800
1.12182617e+04	15100	79250
1.12182617e+04	18825	60500
1.12182617e+04	22550	-6500
1.12182617e+04	26275	-210000
1.12182617e+04	2.81375000e+04	-41000
1.12182617e+04	30000	-195500
1.18273926e+04	200	0
1.18273926e+04	15100	18750
1.18273926e+04	22550	1250
1.18273926e+04	26275	-47000
1.18273926e+04	30000	-45500
1.24365234e+04	200	0
1.24365234e+04	3925	1885
1.24365234e+04	5.78750000e+03	-90155
1.24365234e+04	7650	25250
1.24365234e+04	9.51250000e+03	96000
1.24365234e+04	11375	-317025
1.24365234e+04	1.23062500e+04	-98275
1.24365234e+04	1.32375000e+04	-164675
1.24365234e+04	1.41687500e+04	34000
1.24365234e+04	15100	275750
1.24365234e+04	1.69625000e+04	35000
1.24365234e+04	18825	192500
1.24365234e+04	2.06875000e+04	91000
1.24365234e+04	2.16187500e+04	32750
1.24365234e+04	22550	34250
1.24365234e+04	2.44125000e+04	-58000
1.24365234e+04	2.53437500e+04	-45500
1.24365234e+04	26275	-673250
1.24365234e+04	2.72062500e+04	-59000
1.24365234e+04	2.81375000e+04	-151250
1.24365234e+04	30000	-693500
1.30456543e+04	200	0
