l_0	l_1	l_2	
1	6	-1	
-1	-1	-1	
0	-1	-1	
-1	0	-1	
-1	-1	0	
1	-1	-1	
0	0	-1	
0	-1	0	
1	-1	6	
-1	1	-1	
-1	0	0	
0	7	-1	
-1	-1	1	
2	-1	-1	
1	0	-1	
1	-1	0	
0	1	-1	
0	-1	1	
0	-1	7	
-1	2	-1	
-1	1	0	
-1	8	-1	
-1	0	1	
-1	-1	2	
3	-1	-1	
2	0	-1	
2	-1	0	
1	1	-1	
1	-1	1	
0	2	-1	
8	0	-1	
0	-1	2	
-1	3	-1	
7	1	-1	
-1	2	0	
-1	1	1	
7	-1	1	
-1	0	2	
6	2	-1	
-1	-1	3	
4	-1	-1	
6	-1	2	
3	0	-1	
3	-1	0	
5	3	-1	
2	1	-1	
2	-1	1	
5	-1	3	
1	2	-1	
4	4	-1	
1	-1	2	
0	3	-1	
4	-1	4	
3	5	-1	
0	-1	3	
-1	4	-1	
-1	3	0	
-1	2	1	
-1	1	2	
3	-1	5	
-1	0	3	
-1	-1	4	
2	6	-1	
5	-1	-1	
4	0	-1	
4	-1	0	
3	1	-1	
3	-1	1	
2	-1	6	
2	2	-1	
1	7	-1	
2	-1	2	
1	3	-1	
1	-1	3	
1	-1	7	
0	4	-1	
0	8	-1	
0	-1	4	
-1	5	-1	
-1	4	0	
-1	3	1	
-1	2	2	
-1	1	3	
-1	0	4	
-1	-1	5	
6	-1	-1	
5	0	-1	
5	-1	0	
4	1	-1	
4	-1	1	
3	2	-1	
3	-1	2	
2	3	-1	
8	1	-1	
2	-1	3	
1	4	-1	
7	2	-1	
6	3	-1	
1	-1	4	
0	5	-1	
5	4	-1	
0	-1	5	
-1	6	-1	
-1	4	1	
4	5	-1	
-1	3	2	
-1	2	3	
-1	1	4	
-1	-1	6	
7	-1	-1	
3	6	-1	
6	0	-1	
6	-1	0	
5	1	-1	
5	-1	1	
4	2	-1	
4	-1	2	
2	7	-1	
3	3	-1	
3	-1	3	
2	4	-1	
1	8	-1	
2	-1	4	
1	5	-1	
1	-1	5	
0	6	-1	
0	-1	6	
-1	7	-1	
-1	-1	7	
8	-1	-1	
7	0	-1	
7	-1	0	
6	1	-1	
6	-1	1	
5	2	-1	
5	-1	2	
4	3	-1	
4	-1	3	
3	4	-1	
3	-1	4	
2	5	-1	
2	-1	5	
# vi: tabstop=20 nowrap nostartofline
