x_0	x_1	f(x)	
0	0	0	
0	0.03125	0	
0	0.0625	0	
0	0.09375	0	
0	0.125	0	
0	0.15625	0	
0	0.1875	0	
0	0.21875	0	
0	0.25	0	
0	0.28125	0	
0	0.3125	0	
0	0.34375	0	
0	0.375	0	
0	0.40625	0	
0	0.4375	0	
0	0.46875	0	
0	0.5	0	
0	0.53125	0	
0	0.5625	0	
0	0.59375	0	
0	0.625	0	
0	0.65625	0	
0	0.6875	0	
0	0.71875	0	
0	0.75	0	
0	0.78125	0	
0	0.8125	0	
0	0.84375	0	
0	0.875	0	
0	0.90625	0	
0	0.9375	0	
0	0.96875	0	
0	1	0	

0.03125	0	0	
0.03125	0.03125	-4.5776367e-05	
0.03125	0.0625	-6.1035156e-05	
0.03125	0.09375	-7.6293945e-05	
0.03125	0.125	-6.1035156e-05	
0.03125	0.15625	-7.6293945e-05	
0.03125	0.1875	-6.1035156e-05	
0.03125	0.21875	-4.5776367e-05	
0.03125	0.25	0	
0.03125	0.28125	-1.5258789e-05	
0.03125	0.3125	0	
0.03125	0.34375	1.5258789e-05	
0.03125	0.375	6.1035156e-05	
0.03125	0.40625	7.6293945e-05	
0.03125	0.4375	0.00012207031	
0.03125	0.46875	0.00016784668	
0.03125	0.5	0.00024414062	
0.03125	0.53125	0.00022888184	
0.03125	0.5625	0.00024414062	
0.03125	0.59375	0.00025939941	
0.03125	0.625	0.00030517578	
0.03125	0.65625	0.00032043457	
0.03125	0.6875	0.00036621094	
0.03125	0.71875	0.0004119873	
0.03125	0.75	0.00048828125	
0.03125	0.78125	0.00050354004	
0.03125	0.8125	0.00054931641	
0.03125	0.84375	0.00059509277	
0.03125	0.875	0.00067138672	
0.03125	0.90625	0.00071716309	
0.03125	0.9375	0.00079345703	
0.03125	0.96875	0.00086975098	
0.03125	1	0.0009765625	

0.0625	0	0	
0.0625	0.03125	-6.1035156e-05	
0.0625	0.0625	-6.1035156e-05	
0.0625	0.09375	-6.1035156e-05	
0.0625	0.125	0	
0.0625	0.15625	0	
0.0625	0.1875	6.1035156e-05	
0.0625	0.21875	0.00012207031	
0.0625	0.25	0.00024414062	
0.0625	0.28125	0.00024414062	
0.0625	0.3125	0.00030517578	
0.0625	0.34375	0.00036621094	
0.0625	0.375	0.00048828125	
0.0625	0.40625	0.00054931641	
0.0625	0.4375	0.00067138672	
0.0625	0.46875	0.00079345703	
0.0625	0.5	0.0009765625	
0.0625	0.53125	0.0010375977	
0.0625	0.5625	0.001159668	
0.0625	0.59375	0.0012817383	
0.0625	0.625	0.0014648438	
0.0625	0.65625	0.0015869141	
0.0625	0.6875	0.0017700195	
0.0625	0.71875	0.001953125	
0.0625	0.75	0.0021972656	
0.0625	0.78125	0.0023193359	
0.0625	0.8125	0.0025024414	
0.0625	0.84375	0.0026855469	
0.0625	0.875	0.0029296875	
0.0625	0.90625	0.003112793	
0.0625	0.9375	0.0033569336	
0.0625	0.96875	0.0036010742	
0.0625	1	0.00390625	

0.09375	0	0	
0.09375	0.03125	-7.6293945e-05	
0.09375	0.0625	-6.1035156e-05	
0.09375	0.09375	-4.5776367e-05	
0.09375	0.125	6.1035156e-05	
0.09375	0.15625	7.6293945e-05	
0.09375	0.1875	0.00018310547	
0.09375	0.21875	0.00028991699	
0.09375	0.25	0.00048828125	
0.09375	0.28125	0.0005645752	
0.09375	0.3125	0.00073242188	
0.09375	0.34375	0.00090026855	
0.09375	0.375	0.001159668	
0.09375	0.40625	0.0013275146	
0.09375	0.4375	0.0015869141	
0.09375	0.46875	0.0018463135	
0.09375	0.5	0.0021972656	
0.09375	0.53125	0.0023956299	
0.09375	0.5625	0.0026855469	
0.09375	0.59375	0.0029754639	
0.09375	0.625	0.0033569336	
0.09375	0.65625	0.0036468506	
0.09375	0.6875	0.0040283203	
0.09375	0.71875	0.00440979	
0.09375	0.75	0.0048828125	
0.09375	0.78125	0.0052337646	
0.09375	0.8125	0.0056762695	
0.09375	0.84375	0.0061187744	
0.09375	0.875	0.006652832	
0.09375	0.90625	0.0070953369	
0.09375	0.9375	0.0076293945	
0.09375	0.96875	0.0081634521	
0.09375	1	0.0087890625	

0.125	0	0	
0.125	0.03125	-6.1035156e-05	
0.125	0.0625	0	
0.125	0.09375	6.1035156e-05	
0.125	0.125	0.00024414062	
0.125	0.15625	0.00030517578	
0.125	0.1875	0.00048828125	
0.125	0.21875	0.00067138672	
0.125	0.25	0.0009765625	
0.125	0.28125	0.001159668	
0.125	0.3125	0.0014648438	
0.125	0.34375	0.0017700195	
0.125	0.375	0.0021972656	
0.125	0.40625	0.0025024414	
0.125	0.4375	0.0029296875	
0.125	0.46875	0.0033569336	
0.125	0.5	0.00390625	
0.125	0.53125	0.0043334961	
0.125	0.5625	0.0048828125	
0.125	0.59375	0.0054321289	
0.125	0.625	0.0061035156	
0.125	0.65625	0.006652832	
0.125	0.6875	0.0073242188	
0.125	0.71875	0.0079956055	
0.125	0.75	0.0087890625	
0.125	0.78125	0.0094604492	
0.125	0.8125	0.010253906	
0.125	0.84375	0.011047363	
0.125	0.875	0.011962891	
0.125	0.90625	0.012756348	
0.125	0.9375	0.013671875	
0.125	0.96875	0.014587402	
0.125	1	0.015625	

0.15625	0	0	
0.15625	0.03125	-7.6293945e-05	
0.15625	0.0625	0	
0.15625	0.09375	7.6293945e-05	
0.15625	0.125	0.00030517578	
0.15625	0.15625	0.00044250488	
0.15625	0.1875	0.00073242188	
0.15625	0.21875	0.0010223389	
0.15625	0.25	0.0014648438	
0.15625	0.28125	0.0017852783	
0.15625	0.3125	0.0022583008	
0.15625	0.34375	0.0027313232	
0.15625	0.375	0.0033569336	
0.15625	0.40625	0.0038909912	
0.15625	0.4375	0.0045776367	
0.15625	0.46875	0.0052642822	
0.15625	0.5	0.0061035156	
0.15625	0.53125	0.0067901611	
0.15625	0.5625	0.0076293945	
0.15625	0.59375	0.0084686279	
0.15625	0.625	0.0094604492	
0.15625	0.65625	0.010360718	
0.15625	0.6875	0.011413574	
0.15625	0.71875	0.012466431	
0.15625	0.75	0.013671875	
0.15625	0.78125	0.014755249	
0.15625	0.8125	0.015991211	
0.15625	0.84375	0.017227173	
0.15625	0.875	0.018615723	
0.15625	0.90625	0.01991272	
0.15625	0.9375	0.021362305	
0.15625	0.96875	0.02281189	
0.15625	1	0.024414062	

0.1875	0	0	
0.1875	0.03125	-6.1035156e-05	
0.1875	0.0625	6.1035156e-05	
0.1875	0.09375	0.00018310547	
0.1875	0.125	0.00048828125	
0.1875	0.15625	0.00073242188	
0.1875	0.1875	0.001159668	
0.1875	0.21875	0.0015869141	
0.1875	0.25	0.0021972656	
0.1875	0.28125	0.0026855469	
0.1875	0.3125	0.0033569336	
0.1875	0.34375	0.0040283203	
0.1875	0.375	0.0048828125	
0.1875	0.40625	0.0056762695	
0.1875	0.4375	0.006652832	
0.1875	0.46875	0.0076293945	
0.1875	0.5	0.0087890625	
0.1875	0.53125	0.0098266602	
0.1875	0.5625	0.011047363	
0.1875	0.59375	0.012268066	
0.1875	0.625	0.013671875	
0.1875	0.65625	0.015014648	
0.1875	0.6875	0.016540527	
0.1875	0.71875	0.018066406	
0.1875	0.75	0.019775391	
0.1875	0.78125	0.021362305	
0.1875	0.8125	0.023132324	
0.1875	0.84375	0.024902344	
0.1875	0.875	0.026855469	
0.1875	0.90625	0.028747559	
0.1875	0.9375	0.030822754	
0.1875	0.96875	0.032897949	
0.1875	1	0.03515625	

0.21875	0	0	
0.21875	0.03125	-4.5776367e-05	
0.21875	0.0625	0.00012207031	
0.21875	0.09375	0.00028991699	
0.21875	0.125	0.00067138672	
0.21875	0.15625	0.0010223389	
0.21875	0.1875	0.0015869141	
0.21875	0.21875	0.0021514893	
0.21875	0.25	0.0029296875	
0.21875	0.28125	0.0036468506	
0.21875	0.3125	0.0045776367	
0.21875	0.34375	0.0055084229	
0.21875	0.375	0.006652832	
0.21875	0.40625	0.0077667236	
0.21875	0.4375	0.0090942383	
0.21875	0.46875	0.010421753	
0.21875	0.5	0.011962891	
0.21875	0.53125	0.013412476	
0.21875	0.5625	0.015075684	
0.21875	0.59375	0.016738892	
0.21875	0.625	0.018615723	
0.21875	0.65625	0.020462036	
0.21875	0.6875	0.022521973	
0.21875	0.71875	0.024581909	
0.21875	0.75	0.026855469	
0.21875	0.78125	0.029067993	
0.21875	0.8125	0.031494141	
0.21875	0.84375	0.033920288	
0.21875	0.875	0.036560059	
0.21875	0.90625	0.039169312	
0.21875	0.9375	0.041992188	
0.21875	0.96875	0.044815063	
0.21875	1	0.047851562	

0.25	0	0	
0.25	0.03125	0	
0.25	0.0625	0.00024414062	
0.25	0.09375	0.00048828125	
0.25	0.125	0.0009765625	
0.25	0.15625	0.0014648438	
0.25	0.1875	0.0021972656	
0.25	0.21875	0.0029296875	
0.25	0.25	0.00390625	
0.25	0.28125	0.0048828125	
0.25	0.3125	0.0061035156	
0.25	0.34375	0.0073242188	
0.25	0.375	0.0087890625	
0.25	0.40625	0.010253906	
0.25	0.4375	0.011962891	
0.25	0.46875	0.013671875	
0.25	0.5	0.015625	
0.25	0.53125	0.017578125	
0.25	0.5625	0.019775391	
0.25	0.59375	0.021972656	
0.25	0.625	0.024414062	
0.25	0.65625	0.026855469	
0.25	0.6875	0.029541016	
0.25	0.71875	0.032226562	
0.25	0.75	0.03515625	
0.25	0.78125	0.038085938	
0.25	0.8125	0.041259766	
0.25	0.84375	0.044433594	
0.25	0.875	0.047851562	
0.25	0.90625	0.051269531	
0.25	0.9375	0.054931641	
0.25	0.96875	0.05859375	
0.25	1	0.0625	

0.28125	0	0	
0.28125	0.03125	-1.5258789e-05	
0.28125	0.0625	0.00024414062	
0.28125	0.09375	0.0005645752	
0.28125	0.125	0.001159668	
0.28125	0.15625	0.0017852783	
0.28125	0.1875	0.0026855469	
0.28125	0.21875	0.0036468506	
0.28125	0.25	0.0048828125	
0.28125	0.28125	0.0061187744	
0.28125	0.3125	0.0076293945	
0.28125	0.34375	0.0092010498	
0.28125	0.375	0.011047363	
0.28125	0.40625	0.012924194	
0.28125	0.4375	0.015075684	
0.28125	0.46875	0.017288208	
0.28125	0.5	0.019775391	
0.28125	0.53125	0.022232056	
0.28125	0.5625	0.024963379	
0.28125	0.59375	0.027755737	
0.28125	0.625	0.030822754	
0.28125	0.65625	0.033920288	
0.28125	0.6875	0.03729248	
0.28125	0.71875	0.040725708	
0.28125	0.75	0.044433594	
0.28125	0.78125	0.048141479	
0.28125	0.8125	0.052124023	
0.28125	0.84375	0.056167603	
0.28125	0.875	0.06048584	
0.28125	0.90625	0.064834595	
0.28125	0.9375	0.069458008	
0.28125	0.96875	0.074142456	
0.28125	1	0.079101562	

0.3125	0	0	
0.3125	0.03125	0	
0.3125	0.0625	0.00030517578	
0.3125	0.09375	0.00073242188	
0.3125	0.125	0.0014648438	
0.3125	0.15625	0.0022583008	
0.3125	0.1875	0.0033569336	
0.3125	0.21875	0.0045776367	
0.3125	0.25	0.0061035156	
0.3125	0.28125	0.0076293945	
0.3125	0.3125	0.0094604492	
0.3125	0.34375	0.011413574	
0.3125	0.375	0.013671875	
0.3125	0.40625	0.015991211	
0.3125	0.4375	0.018615723	
0.3125	0.46875	0.021362305	
0.3125	0.5	0.024414062	
0.3125	0.53125	0.02746582	
0.3125	0.5625	0.030822754	
0.3125	0.59375	0.034301758	
0.3125	0.625	0.038085938	
0.3125	0.65625	0.041931152	
0.3125	0.6875	0.046081543	
0.3125	0.71875	0.050354004	
0.3125	0.75	0.054931641	
0.3125	0.78125	0.059509277	
0.3125	0.8125	0.06439209	
0.3125	0.84375	0.069396973	
0.3125	0.875	0.074707031	
0.3125	0.90625	0.080078125	
0.3125	0.9375	0.085754395	
0.3125	0.96875	0.091552734	
0.3125	1	0.09765625	

0.34375	0	0	
