x_0	x_1	f(x)	
0	0	0	
0	0.03125	0	
0	0.0625	0	
0	0.09375	0	
0	0.125	0	
0	0.15625	0	
0	0.1875	0	
0	0.21875	0	
0	0.25	0	
0	0.28125	0	
0	0.3125	0	
0	0.34375	0	
0	0.375	0	
0	0.40625	0	
0	0.4375	0	
0	0.46875	0	
0	0.5	0	
0	0.53125	0	
0	0.5625	0	
0	0.59375	0	
0	0.625	0	
0	0.65625	0	
0	0.6875	0	
0	0.71875	0	
0	0.75	0	
0	0.78125	0	
0	0.8125	0	
0	0.84375	0	
0	0.875	0	
0	0.90625	0	
0	0.9375	0	
0	0.96875	0	
0	1	0	

0.03125	0	0	
0.03125	0.5	0.00024414062	
0.03125	1	0.0009765625	

0.0625	0	0	
0.0625	0.25	0.00024414062	
0.0625	0.5	0.0009765625	
0.0625	0.75	0.0021972656	
0.0625	1	0.00390625	

0.09375	0	0	
0.09375	0.5	0.0021972656	
0.09375	1	0.0087890625	

0.125	0	0	
0.125	0.125	0.00024414062	
0.125	0.25	0.0009765625	
0.125	0.375	0.0021972656	
0.125	0.5	0.00390625	
0.125	0.625	0.0061035156	
0.125	0.75	0.0087890625	
0.125	0.875	0.011962891	
0.125	1	0.015625	

0.15625	0	0	
0.15625	0.5	0.0061035156	
0.15625	1	0.024414062	

0.1875	0	0	
0.1875	0.25	0.0021972656	
0.1875	0.5	0.0087890625	
0.1875	0.75	0.019775391	
0.1875	1	0.03515625	

0.21875	0	0	
0.21875	0.5	0.011962891	
0.21875	1	0.047851562	

0.25	0	0	
0.25	0.0625	0.00024414062	
0.25	0.125	0.0009765625	
0.25	0.1875	0.0021972656	
0.25	0.25	0.00390625	
0.25	0.3125	0.0061035156	
0.25	0.375	0.0087890625	
0.25	0.4375	0.011962891	
0.25	0.5	0.015625	
0.25	0.5625	0.019775391	
0.25	0.625	0.024414062	
0.25	0.6875	0.029541016	
0.25	0.75	0.03515625	
0.25	0.8125	0.041259766	
0.25	0.875	0.047851562	
0.25	0.9375	0.054931641	
0.25	1	0.0625	

0.28125	0	0	
0.28125	0.5	0.019775391	
0.28125	1	0.079101562	

0.3125	0	0	
0.3125	0.25	0.0061035156	
0.3125	0.5	0.024414062	
0.3125	0.75	0.054931641	
0.3125	1	0.09765625	

0.34375	0	0	
0.34375	0.5	0.029541016	
0.34375	1	0.11816406	

0.375	0	0	
0.375	0.125	0.0021972656	
0.375	0.25	0.0087890625	
0.375	0.375	0.019775391	
0.375	0.5	0.03515625	
0.375	0.625	0.054931641	
0.375	0.75	0.079101562	
0.375	0.875	0.10766602	
0.375	1	0.140625	

0.40625	0	0	
0.40625	0.5	0.041259766	
0.40625	1	0.16503906	

0.4375	0	0	
0.4375	0.25	0.011962891	
0.4375	0.5	0.047851562	
0.4375	0.75	0.10766602	
0.4375	1	0.19140625	

0.46875	0	0	
0.46875	0.5	0.054931641	
0.46875	1	0.21972656	

0.5	0	0	
0.5	0.03125	0.00024414062	
0.5	0.0625	0.0009765625	
0.5	0.09375	0.0021972656	
0.5	0.125	0.00390625	
0.5	0.15625	0.0061035156	
0.5	0.1875	0.0087890625	
0.5	0.21875	0.011962891	
0.5	0.25	0.015625	
0.5	0.28125	0.019775391	
0.5	0.3125	0.024414062	
0.5	0.34375	0.029541016	
0.5	0.375	0.03515625	
0.5	0.40625	0.041259766	
0.5	0.4375	0.047851562	
0.5	0.46875	0.054931641	
0.5	0.5	0.0625	
0.5	0.53125	0.070556641	
0.5	0.5625	0.079101562	
0.5	0.59375	0.088134766	
0.5	0.625	0.09765625	
0.5	0.65625	0.10766602	
0.5	0.6875	0.11816406	
0.5	0.71875	0.12915039	
0.5	0.75	0.140625	
0.5	0.78125	0.15258789	
0.5	0.8125	0.16503906	
0.5	0.84375	0.17797852	
0.5	0.875	0.19140625	
0.5	0.90625	0.20532227	
0.5	0.9375	0.21972656	
0.5	0.96875	0.23461914	
0.5	1	0.25	

0.53125	0	0	
0.53125	0.5	0.070556641	
0.53125	1	0.28222656	

0.5625	0	0	
0.5625	0.25	0.019775391	
0.5625	0.5	0.079101562	
0.5625	0.75	0.17797852	
0.5625	1	0.31640625	

0.59375	0	0	
0.59375	0.5	0.088134766	
0.59375	1	0.35253906	

0.625	0	0	
0.625	0.125	0.0061035156	
0.625	0.25	0.024414062	
0.625	0.375	0.054931641	
0.625	0.5	0.09765625	
0.625	0.625	0.15258789	
0.625	0.75	0.21972656	
0.625	0.875	0.29907227	
0.625	1	0.390625	

0.65625	0	0	
0.65625	0.5	0.10766602	
0.65625	1	0.43066406	

0.6875	0	0	
0.6875	0.25	0.029541016	
0.6875	0.5	0.11816406	
0.6875	0.75	0.26586914	
0.6875	1	0.47265625	

0.71875	0	0	
0.71875	0.5	0.12915039	
0.71875	1	0.51660156	

0.75	0	0	
0.75	0.0625	0.0021972656	
0.75	0.125	0.0087890625	
0.75	0.1875	0.019775391	
0.75	0.25	0.03515625	
0.75	0.3125	0.054931641	
0.75	0.375	0.079101562	
0.75	0.4375	0.10766602	
0.75	0.5	0.140625	
0.75	0.5625	0.17797852	
0.75	0.625	0.21972656	
0.75	0.6875	0.26586914	
0.75	0.75	0.31640625	
0.75	0.8125	0.37133789	
0.75	0.875	0.43066406	
0.75	0.9375	0.49438477	
0.75	1	0.5625	

0.78125	0	0	
0.78125	0.5	0.15258789	
0.78125	1	0.61035156	

0.8125	0	0	
0.8125	0.25	0.041259766	
0.8125	0.5	0.16503906	
0.8125	0.75	0.37133789	
0.8125	1	0.66015625	

0.84375	0	0	
0.84375	0.5	0.17797852	
0.84375	1	0.71191406	

0.875	0	0	
0.875	0.125	0.011962891	
0.875	0.25	0.047851562	
0.875	0.375	0.10766602	
0.875	0.5	0.19140625	
0.875	0.625	0.29907227	
0.875	0.75	0.43066406	
0.875	0.875	0.58618164	
0.875	1	0.765625	

0.90625	0	0	
0.90625	0.5	0.20532227	
0.90625	1	0.82128906	

0.9375	0	0	
0.9375	0.25	0.054931641	
0.9375	0.5	0.21972656	
0.9375	0.75	0.49438477	
0.9375	1	0.87890625	

0.96875	0	0	
0.96875	0.5	0.23461914	
0.96875	1	0.93847656	

1	0	0	
1	0.03125	0.0009765625	
1	0.0625	0.00390625	
1	0.09375	0.0087890625	
1	0.125	0.015625	
1	0.15625	0.024414062	
1	0.1875	0.03515625	
1	0.21875	0.047851562	
1	0.25	0.0625	
1	0.28125	0.079101562	
1	0.3125	0.09765625	
1	0.34375	0.11816406	
1	0.375	0.140625	
1	0.40625	0.16503906	
1	0.4375	0.19140625	
1	0.46875	0.21972656	
1	0.5	0.25	
1	0.53125	0.28222656	
1	0.5625	0.31640625	
1	0.59375	0.35253906	
1	0.625	0.390625	
1	0.65625	0.43066406	
1	0.6875	0.47265625	
1	0.71875	0.51660156	
1	0.75	0.5625	
1	0.78125	0.61035156	
1	0.8125	0.66015625	
1	0.84375	0.71191406	
1	0.875	0.765625	
1	0.90625	0.82128906	
1	0.9375	0.87890625	
1	0.96875	0.93847656	
1	1	1	

