% mole fractions		(IPA = isopropyl alcohol)			
%					
A_propene	A_water	A_IPA	B_propene	B_water	B_IPA
9.4235838E-04	9.9905764E-01	0.0000000E+00	9.3330459E-01	6.6695407E-02	0.0000000E+00
9.4215477E-04	9.9884179E-01	2.1605807E-04	9.3036158E-01	6.6485095E-02	3.1533200E-03
1.1080937E-03	9.9755844E-01	1.3334700E-03	9.1359901E-01	6.7301914E-02	1.9099071E-02
1.2827831E-03	9.9627739E-01	2.4398276E-03	8.9561913E-01	6.9258571E-02	3.5122298E-02
1.4554132E-03	9.9506432E-01	3.4802642E-03	8.7673113E-01	7.1936388E-02	5.1332485E-02
1.6177531E-03	9.9395900E-01	4.4232468E-03	8.5685840E-01	7.5379766E-02	6.7761838E-02
1.7682020E-03	9.9295589E-01	5.2759119E-03	8.3586919E-01	7.9813479E-02	8.4317327E-02
1.9134033E-03	9.9200189E-01	6.0847116E-03	8.1380294E-01	8.5396682E-02	1.0080037E-01
2.0625750E-03	9.9103237E-01	6.9050506E-03	7.9084551E-01	9.2146960E-02	1.1700753E-01
2.2233425E-03	9.8999859E-01	7.7780716E-03	7.6724141E-01	9.9960064E-02	1.3279853E-01
2.4003560E-03	9.8887288E-01	8.7267643E-03	7.4318961E-01	1.0871534E-01	1.4809505E-01
2.5968721E-03	9.8763898E-01	9.7641444E-03	7.1884713E-01	1.1829828E-01	1.6285459E-01
2.8148300E-03	9.8628836E-01	1.0896809E-02	6.9431051E-01	1.2863826E-01	1.7705124E-01
3.0564528E-03	9.8481268E-01	1.2130867E-02	6.6966558E-01	1.3966801E-01	1.9066641E-01
3.3231964E-03	9.8320674E-01	1.3470060E-02	6.4495675E-01	1.5136031E-01	2.0368294E-01
3.6173991E-03	9.8146211E-01	1.4920492E-02	6.2023979E-01	1.6367472E-01	2.1608549E-01
3.9408461E-03	9.7957209E-01	1.6487064E-02	5.9554212E-01	1.7660112E-01	2.2785676E-01
4.2954638E-03	9.7752912E-01	1.8175420E-02	5.7088606E-01	1.9013622E-01	2.3897772E-01
4.6842265E-03	9.7532136E-01	1.9994417E-02	5.4630971E-01	2.0425946E-01	2.4943083E-01
5.1091212E-03	9.7294002E-01	2.1950864E-02	5.2181926E-01	2.1898856E-01	2.5919218E-01
5.5730727E-03	9.7037226E-01	2.4054662E-02	4.9743456E-01	2.3432762E-01	2.6823782E-01
6.0811333E-03	9.6759694E-01	2.6321927E-02	4.7320495E-01	2.5024516E-01	2.7654989E-01
6.6344965E-03	9.6460585E-01	2.8759653E-02	4.4909838E-01	2.6681422E-01	2.8408740E-01
7.2406958E-03	9.6136718E-01	3.1392129E-02	4.2518272E-01	2.8398337E-01	2.9083391E-01
7.9019565E-03	9.5786681E-01	3.4231230E-02	4.0142504E-01	3.0183612E-01	2.9673885E-01
8.6249420E-03	9.5407345E-01	3.7301604E-02	3.7785036E-01	3.2038537E-01	3.0176427E-01
9.4206443E-03	9.4993891E-01	4.0640443E-02	3.5451625E-01	3.3960006E-01	3.0588369E-01
1.0292322E-02	9.4544003E-01	4.4267644E-02	3.3136376E-01	3.5962367E-01	3.0901257E-01
1.1255153E-02	9.4050925E-01	4.8235594E-02	3.0845009E-01	3.8044015E-01	3.1110976E-01
1.2326950E-02	9.3506669E-01	5.2606360E-02	2.8581063E-01	4.0206987E-01	3.1211950E-01
1.3517906E-02	9.2905471E-01	5.7427388E-02	2.6337148E-01	4.2472395E-01	3.1190457E-01
1.4865451E-02	9.2231580E-01	6.2818745E-02	2.4122846E-01	4.4835517E-01	3.1041637E-01
1.6405086E-02	9.1469239E-01	6.8902522E-02	2.1935506E-01	4.7313808E-01	3.0750686E-01
1.8190494E-02	9.0595494E-01	7.5854571E-02	1.9772252E-01	4.9929154E-01	3.0298594E-01
2.0328070E-02	8.9568105E-01	8.3990879E-02	1.7638276E-01	5.2692760E-01	2.9668964E-01
2.2996914E-02	8.8318645E-01	9.3816639E-02	1.5533006E-01	5.5632246E-01	2.8834748E-01
2.6589342E-02	8.6705639E-01	1.0635427E-01	1.3459156E-01	5.8777731E-01	2.7763113E-01
3.1980054E-02	8.4430759E-01	1.2371236E-01	1.1375649E-01	6.2279538E-01	2.6344812E-01
4.1458426E-02	8.0760432E-01	1.5093726E-01	8.9949059E-02	6.6984377E-01	2.4020717E-01
