
# Surface 0 of 1 surfaces

# Curve title: ""example_272_contourtmp0.dat""

# Contour 0, label:       20
-5 -4  20 
-4.79999 -4.16668  20 
-4.58334 -4.36363  20 
-4.36363 -4.58334  20 
-4.16668 -4.79999  20 
-4 -5  20 

 4.00013  4.99984  20 
 4.16652  4.80017  20 
 4.36378  4.58318  20 
 4.58318  4.36378  20 
 4.80017  4.16652  20 
 4.99984  4.00013  20 


# Contour 1, label:       10
-5 -2  10 
-4.79989 -2.08338  10 
-4.58334 -2.18181  10 
-4.16668 -2.39999  10 
-3.99994 -2.50004  10 
-3.75002 -2.66665  10 
-3.42853 -2.9167  10 
-3.33336 -2.99998  10 
-2.99998 -3.33336  10 
-2.9167 -3.42853  10 
-2.66665 -3.75002  10 
-2.50004 -3.99994  10 
-2.39999 -4.16668  10 
-2.18181 -4.58334  10 
-2.08338 -4.79989  10 
-2 -5  10 

 2.00006  4.99984  10 
 2.08322  4.80026  10 
 2.18189  4.58318  10 
 2.40008  4.16652  10 
 2.49988  4.00019  10 
 2.66677  3.74986  10 
 2.91654  3.42872  10 
 3.00012  3.3332  10 
 3.3332  3.00012  10 
 3.42872  2.91654  10 
 3.74986  2.66677  10 
 4.00019  2.49988  10 
 4.16652  2.40008  10 
 4.58318  2.18189  10 
 4.80026  2.08322  10 
 4.99984  2.00006  10 


# Contour 2, label:        0
 4.99984 -8.49923e-12  0 
 4.58318 -8.65771e-12  0 
 4.16652 -8.84783e-12  0 
 3.74986 -8.06023e-12  0 
 3.3332 -8.2232e-12  0 
 2.91654 -8.43285e-12  0 
 2.49988 -9.11821e-12  0 
 2.08322 -8.18902e-12  0 
 1.66656 -7.39527e-12  0 
 1.2499 -8.42008e-12  0 
 0.83324 -9.0905e-12  0 
 0.41658 -9.13163e-12  0 
-9.12014e-12 -8e-05  0 
-8.50648e-12 -0.41674  0 
-8.89788e-12 -0.8334  0 
-9.75175e-12 -1.25006  0 
-8.39408e-12 -1.66672  0 
-8.98808e-12 -2.08338  0 
-8.61608e-12 -2.50004  0 
-8.00248e-12 -2.9167  0 
-8.14662e-12 -3.33336  0 
-9.01612e-12 -3.75002  0 
-9.49087e-12 -4.16668  0 
-8.60196e-12 -4.58334  0 
-9.21615e-12 -5  0 

-8.49922e-12  4.99984  0 
-8.6577e-12  4.58318  0 
-8.84787e-12  4.16652  0 
-8.06021e-12  3.74986  0 
-8.22323e-12  3.3332  0 
-8.43284e-12  2.91654  0 
-9.1182e-12  2.49988  0 
-8.18906e-12  2.08322  0 
-7.39525e-12  1.66656  0 
-8.42013e-12  1.2499  0 
-9.09051e-12  0.83324  0 
-9.13162e-12  0.41658  0 
-8e-05 -9.12016e-12  0 
-0.41674 -8.50654e-12  0 
-0.8334 -8.89788e-12  0 
-1.25006 -9.75172e-12  0 
-1.66672 -8.39408e-12  0 
-2.08338 -8.98809e-12  0 
-2.50004 -8.61612e-12  0 
-2.9167 -8.0025e-12  0 
-3.33336 -8.14665e-12  0 
-3.75002 -9.01612e-12  0 
-4.16668 -9.49087e-12  0 
-4.58334 -8.60192e-12  0 
-5 -9.21614e-12  0 


# Contour 3, label:      -10
 4.99984 -2.00006 -10 
 4.79989 -2.08338 -10 
 4.58318 -2.18189 -10 
 4.16652 -2.40008 -10 
 3.99994 -2.50004 -10 
 3.74986 -2.66677 -10 
 3.42853 -2.9167 -10 
 3.3332 -3.00012 -10 
 2.99998 -3.33336 -10 
 2.91654 -3.42872 -10 
 2.66665 -3.75002 -10 
 2.49988 -4.00019 -10 
 2.39999 -4.16668 -10 
 2.18181 -4.58334 -10 
 2.08322 -4.80026 -10 
 2 -5 -10 

-2.00006  4.99984 -10 
-2.08338  4.79989 -10 
-2.18189  4.58318 -10 
-2.40008  4.16652 -10 
-2.50004  3.99994 -10 
-2.66677  3.74986 -10 
-2.9167  3.42853 -10 
-3.00012  3.3332 -10 
-3.33336  2.99998 -10 
-3.42872  2.91654 -10 
-3.75002  2.66665 -10 
-4.00019  2.49988 -10 
-4.16668  2.39999 -10 
-4.58334  2.18181 -10 
-4.80026  2.08322 -10 
-5  2 -10 


# Contour 4, label:      -20
 4.99984 -4.00013 -20 
 4.79999 -4.16668 -20 
 4.58318 -4.36378 -20 
 4.36363 -4.58334 -20 
 4.16652 -4.80017 -20 
 4 -5 -20 

-4.00013  4.99984 -20 
-4.16668  4.79999 -20 
-4.36378  4.58318 -20 
-4.58334  4.36363 -20 
-4.80017  4.16652 -20 
-5  4 -20 

