x y c
2.183488e+00 3.051369e+00 1.867221e-01
3.135548e+00 3.189848e+00 4.115221e-02
3.187824e+00 2.129012e+00 3.448819e-01
2.183488e+00 3.051369e+00 9.136419e-01
1.192963e+00 3.036861e+00 5.815068e-01
3.135548e+00 3.189848e+00 9.166545e-01
2.155500e+00 1.134009e+00 7.836092e-01
3.099869e+00 1.091308e+00 1.192347e-01
1.103163e+00 1.100579e+00 6.035479e-01
2.155500e+00 1.134009e+00 8.689455e-01
1.136185e+00 2.163596e+00 3.428403e-01
1.103163e+00 1.100579e+00 7.484758e-01
2.195564e+00 2.153575e+00 3.603741e-02
2.155500e+00 1.134009e+00 9.978773e-01
1.136185e+00 2.163596e+00 3.075924e-01
2.195564e+00 2.153575e+00 2.502574e-01
1.136185e+00 2.163596e+00 3.471524e-01
1.192963e+00 3.036861e+00 6.142527e-01
2.195564e+00 2.153575e+00 4.165368e-01
2.183488e+00 3.051369e+00 7.197151e-01
1.192963e+00 3.036861e+00 9.789483e-01
2.195564e+00 2.153575e+00 2.690056e-01
2.183488e+00 3.051369e+00 1.615952e-01
3.187824e+00 2.129012e+00 7.696578e-01
2.195564e+00 2.153575e+00 7.563200e-01
3.099869e+00 1.091308e+00 1.187750e-01
3.187824e+00 2.129012e+00 5.541797e-01
2.195564e+00 2.153575e+00 9.281749e-01
2.155500e+00 1.134009e+00 1.247471e-01
3.099869e+00 1.091308e+00 3.396354e-01
