x y c
1.012928e+00 2.019726e+00 4.391341e-01
1.139314e+00 1.082637e+00 5.480092e-01
2.162263e+00 2.014768e+00 9.542443e-01
3.143636e+00 3.004483e+00 2.725022e-02
2.162263e+00 2.014768e+00 5.668608e-01
3.197210e+00 2.099360e+00 7.423723e-01
3.197210e+00 2.099360e+00 8.761843e-01
2.162263e+00 2.014768e+00 6.803950e-01
3.063814e+00 1.196319e+00 9.374496e-01
2.075921e+00 3.024102e+00 6.100922e-01
3.143636e+00 3.004483e+00 3.713786e-01
1.149532e+00 3.146912e+00 5.133640e-01
2.162263e+00 2.014768e+00 2.035924e-01
3.143636e+00 3.004483e+00 7.822871e-02
2.075921e+00 3.024102e+00 2.409048e-01
2.075921e+00 3.024102e+00 5.199168e-01
1.149532e+00 3.146912e+00 4.563507e-01
1.012928e+00 2.019726e+00 2.599653e-01
1.012928e+00 2.019726e+00 5.382430e-02
2.162263e+00 2.014768e+00 4.784380e-02
2.075921e+00 3.024102e+00 7.589742e-01
2.084080e+00 1.127461e+00 8.621874e-01
2.162263e+00 2.014768e+00 7.382570e-01
1.139314e+00 1.082637e+00 9.933428e-01
2.084080e+00 1.127461e+00 4.429347e-01
3.063814e+00 1.196319e+00 3.800154e-02
2.162263e+00 2.014768e+00 3.567057e-01
