x y z c
1.012928e+00 2.019726e+00 1.408738e-01 2.690468e-01
1.139314e+00 1.082637e+00 5.383155e-02 2.690468e-01
2.162263e+00 2.014768e+00 5.608567e-01 2.690468e-01
3.143636e+00 3.004483e+00 2.885653e-01 5.941942e-01
2.162263e+00 2.014768e+00 5.608567e-01 5.941942e-01
3.197210e+00 2.099360e+00 8.976465e-01 5.941942e-01
3.197210e+00 2.099360e+00 8.976465e-01 4.758790e-01
2.162263e+00 2.014768e+00 5.608567e-01 4.758790e-01
3.063814e+00 1.196319e+00 6.778549e-02 4.758790e-01
2.075921e+00 3.024102e+00 4.944563e-01 3.683110e-01
3.143636e+00 3.004483e+00 2.885653e-01 3.683110e-01
1.149532e+00 3.146912e+00 8.934743e-01 3.683110e-01
2.162263e+00 2.014768e+00 5.608567e-01 6.556111e-01
3.143636e+00 3.004483e+00 2.885653e-01 6.556111e-01
2.075921e+00 3.024102e+00 4.944563e-01 6.556111e-01
2.075921e+00 3.024102e+00 4.944563e-01 9.382004e-01
1.149532e+00 3.146912e+00 8.934743e-01 9.382004e-01
1.012928e+00 2.019726e+00 1.408738e-01 9.382004e-01
1.012928e+00 2.019726e+00 1.408738e-01 6.204252e-01
2.162263e+00 2.014768e+00 5.608567e-01 6.204252e-01
2.075921e+00 3.024102e+00 4.944563e-01 6.204252e-01
2.084080e+00 1.127461e+00 4.658201e-01 2.828401e-01
2.162263e+00 2.014768e+00 5.608567e-01 2.828401e-01
1.139314e+00 1.082637e+00 5.383155e-02 2.828401e-01
2.084080e+00 1.127461e+00 4.658201e-01 2.051813e-01
3.063814e+00 1.196319e+00 6.778549e-02 2.051813e-01
2.162263e+00 2.014768e+00 5.608567e-01 2.051813e-01
