
# Surface 0 of 1 surfaces

# Curve title: ""unittest_contour_z_dir_2_contourtmp0.dat""
# Contour 0, label:        4
 4.99984 -8.95674  4 
 4.58318 -4.96388  4 
 4.16652 -1.31824  4 
 3.74986  1.98021  4 
 3.3332  4.93142  4 
 2.91654  7.53545  4 
 2.49988  9.79226  4 
 2.08322  11.7018  4 
 1.66656  13.2642  4 
 1.2499  14.4794  4 
 0.83324  15.3474  4 
 0.41658  15.8681  4 
-7.999e-05  16.0417  4 
-0.41674  15.868  4 
-0.8334  15.3471  4 
-1.25006  14.479  4 
-1.66672  13.2637  4 
-2.08338  11.7012  4 
-2.50004  9.79146  4 
-2.9167  7.53451  4 
-3.33336  4.93036  4 
-3.75002  1.979  4 
-4.16668 -1.31957  4 
-4.58334 -4.96535  4 
-5 -8.95835  4 


# Contour 1, label:        2
 4.99984 -20.9706  2 
 4.58318 -16.9778  2 
 4.16652 -13.3321  2 
 3.74986 -10.0337  2 
 3.3332 -7.08248  2 
 2.91654 -4.47846  2 
 2.49988 -2.22165  2 
 2.08322 -0.312057  2 
 1.66656  1.25033  2 
 1.2499  2.4655  2 
 0.83324  3.33346  2 
 0.41658  3.85421  2 
-7.999e-05  4.02775  2 
-0.41674  3.85408  2 
-0.8334  3.33319  2 
-1.25006  2.4651  2 
-1.66672  1.24979  2 
-2.08338 -0.312723  2 
-2.50004 -2.22245  2 
-2.9167 -4.47939  2 
-3.33336 -7.08355  2 
-3.75002 -10.0349  2 
-4.16668 -13.3335  2 
-4.58334 -16.9793  2 
-5 -20.9723  2 


# Contour 2, label:        0
 4.99984 -24.9984  0 
 4.58318 -21.0055  0 
 4.16652 -17.3599  0 
 3.74986 -14.0614  0 
 3.3332 -11.1102  0 
 2.91654 -8.50618  0 
 2.49988 -6.24936  0 
 2.08322 -4.33977  0 
 1.66656 -2.77739  0 
 1.2499 -1.56221  0 
 0.83324 -0.694256  0 
 0.41658 -0.173506  0 
-7.999e-05  3.33158e-05  0 
-0.41674 -0.173639  0 
-0.8334 -0.694522  0 
-1.25006 -1.56262  0 
-1.66672 -2.77792  0 
-2.08338 -4.34044  0 
-2.50004 -6.25017  0 
-2.9167 -8.50711  0 
-3.33336 -11.1113  0 
-3.75002 -14.0626  0 
-4.16668 -17.3612  0 
-4.58334 -21.007  0 
-5 -25  0 


# Contour 3, label:       -2
 4.99984 -20.9706 -2 
 4.58318 -16.9778 -2 
 4.16652 -13.3321 -2 
 3.74986 -10.0337 -2 
 3.3332 -7.08244 -2 
 2.91654 -4.47842 -2 
 2.49988 -2.22161 -2 
 2.08322 -0.312016 -2 
 1.66656  1.25037 -2 
 1.2499  2.46554 -2 
 0.83324  3.3335 -2 
 0.41658  3.85425 -2 
-7.999e-05  4.02779 -2 
-0.41674  3.85412 -2 
-0.8334  3.33323 -2 
-1.25006  2.46514 -2 
-1.66672  1.24983 -2 
-2.08338 -0.312683 -2 
-2.50004 -2.22241 -2 
-2.9167 -4.47935 -2 
-3.33336 -7.08351 -2 
-3.75002 -10.0349 -2 
-4.16668 -13.3334 -2 
-4.58334 -16.9792 -2 
-5 -20.9722 -2 


# Contour 4, label:       -4
 4.99984 -8.95673 -4 
 4.58318 -4.96387 -4 
 4.16652 -1.31823 -4 
 3.74986  1.98022 -4 
 3.3332  4.93144 -4 
 2.91654  7.53546 -4 
 2.49988  9.79227 -4 
 2.08322  11.7019 -4 
 1.66656  13.2642 -4 
 1.2499  14.4794 -4 
 0.83324  15.3474 -4 
 0.41658  15.8681 -4 
-7.999e-05  16.0417 -4 
-0.41674  15.868 -4 
-0.8334  15.3471 -4 
-1.25006  14.479 -4 
-1.66672  13.2637 -4 
-2.08338  11.7012 -4 
-2.50004  9.79147 -4 
-2.9167  7.53452 -4 
-3.33336  4.93037 -4 
-3.75002  1.97901 -4 
-4.16668 -1.31955 -4 
-4.58334 -4.96534 -4 
-5 -8.95833 -4 

