x y z c
1.012928e+00 2.019726e+00 9.747000e-01 5.941942e-01
1.139314e+00 1.082637e+00 1.582336e+00 2.690468e-01
2.162263e+00 2.014768e+00 2.654754e-02 6.556111e-01
3.143636e+00 3.004483e+00 2.316889e+00 2.051813e-01
2.162263e+00 2.014768e+00 2.654754e-02 6.556111e-01
3.197210e+00 2.099360e+00 1.443185e+00 2.828401e-01
3.197210e+00 2.099360e+00 1.443185e+00 2.828401e-01
2.162263e+00 2.014768e+00 2.654754e-02 6.556111e-01
3.063814e+00 1.196319e+00 1.777602e+00 6.204252e-01
2.075921e+00 3.024102e+00 1.054548e+00 9.382004e-01
3.143636e+00 3.004483e+00 2.316889e+00 2.051813e-01
1.149532e+00 3.146912e+00 2.038702e+00 4.758790e-01
2.162263e+00 2.014768e+00 2.654754e-02 6.556111e-01
3.143636e+00 3.004483e+00 2.316889e+00 2.051813e-01
2.075921e+00 3.024102e+00 1.054548e+00 9.382004e-01
2.075921e+00 3.024102e+00 1.054548e+00 9.382004e-01
1.149532e+00 3.146912e+00 2.038702e+00 4.758790e-01
1.012928e+00 2.019726e+00 9.747000e-01 5.941942e-01
1.012928e+00 2.019726e+00 9.747000e-01 5.941942e-01
2.162263e+00 2.014768e+00 2.654754e-02 6.556111e-01
2.075921e+00 3.024102e+00 1.054548e+00 9.382004e-01
2.084080e+00 1.127461e+00 7.683933e-01 3.683110e-01
2.162263e+00 2.014768e+00 2.654754e-02 6.556111e-01
1.139314e+00 1.082637e+00 1.582336e+00 2.690468e-01
2.084080e+00 1.127461e+00 7.683933e-01 3.683110e-01
3.063814e+00 1.196319e+00 1.777602e+00 6.204252e-01
2.162263e+00 2.014768e+00 2.654754e-02 6.556111e-01
